page_id,page_type,category,display_name,slug,url,content_key,reason,candidate_excel_slug
category:강원|춘천시:고등영어과외,subject_grade,고등영어과외,춘천시,춘천시,/춘천시고등영어과외/,춘천시고등영어과외,excel_slug_missing,
region:충북|청주시 흥덕구,district,과외,청주시 흥덕구,청주시 흥덕구,/충북과외/청주시-흥덕구과외/,청주시-흥덕구과외,hub_page_no_content,
category:충북|청주시 흥덕구:수학과외,subject,수학과외,청주시 흥덕구,청주시 흥덕구,/청주시-흥덕구수학과외/,청주시-흥덕구수학과외,excel_slug_missing,
category:충북|청주시 흥덕구:영어과외,subject,영어과외,청주시 흥덕구,청주시 흥덕구,/청주시-흥덕구영어과외/,청주시-흥덕구영어과외,excel_slug_missing,
category:충북|청주시 흥덕구:초등과외,grade,초등과외,청주시 흥덕구,청주시 흥덕구,/청주시-흥덕구초등과외/,청주시-흥덕구초등과외,excel_slug_missing,
category:충북|청주시 흥덕구:중등과외,grade,중등과외,청주시 흥덕구,청주시 흥덕구,/청주시-흥덕구중등과외/,청주시-흥덕구중등과외,excel_slug_missing,
category:충북|청주시 흥덕구:고등과외,grade,고등과외,청주시 흥덕구,청주시 흥덕구,/청주시-흥덕구고등과외/,청주시-흥덕구고등과외,excel_slug_missing,
category:충북|청주시 흥덕구:초등수학과외,subject_grade,초등수학과외,청주시 흥덕구,청주시 흥덕구,/청주시-흥덕구초등수학과외/,청주시-흥덕구초등수학과외,excel_slug_missing,
category:충북|청주시 흥덕구:중등수학과외,subject_grade,중등수학과외,청주시 흥덕구,청주시 흥덕구,/청주시-흥덕구중등수학과외/,청주시-흥덕구중등수학과외,excel_slug_missing,
category:충북|청주시 흥덕구:고등수학과외,subject_grade,고등수학과외,청주시 흥덕구,청주시 흥덕구,/청주시-흥덕구고등수학과외/,청주시-흥덕구고등수학과외,excel_slug_missing,
category:충북|청주시 흥덕구:초등영어과외,subject_grade,초등영어과외,청주시 흥덕구,청주시 흥덕구,/청주시-흥덕구초등영어과외/,청주시-흥덕구초등영어과외,excel_slug_missing,
category:충북|청주시 흥덕구:중등영어과외,subject_grade,중등영어과외,청주시 흥덕구,청주시 흥덕구,/청주시-흥덕구중등영어과외/,청주시-흥덕구중등영어과외,excel_slug_missing,
category:충북|청주시 흥덕구:고등영어과외,subject_grade,고등영어과외,청주시 흥덕구,청주시 흥덕구,/청주시-흥덕구고등영어과외/,청주시-흥덕구고등영어과외,excel_slug_missing,
region:충남,city,과외,충남,충남,/충남과외/,충남과외,hub_page_no_content,
category:충남:수학과외,subject,수학과외,충남,충남,/충남수학과외/,충남수학과외,excel_slug_missing,
category:충남:영어과외,subject,영어과외,충남,충남,/충남영어과외/,충남영어과외,excel_slug_missing,
category:충남:초등과외,grade,초등과외,충남,충남,/충남초등과외/,충남초등과외,excel_slug_missing,
category:충남:중등과외,grade,중등과외,충남,충남,/충남중등과외/,충남중등과외,excel_slug_missing,
category:충남:고등과외,grade,고등과외,충남,충남,/충남고등과외/,충남고등과외,excel_slug_missing,
category:충남:초등수학과외,subject_grade,초등수학과외,충남,충남,/충남초등수학과외/,충남초등수학과외,excel_slug_missing,
category:충남:중등수학과외,subject_grade,중등수학과외,충남,충남,/충남중등수학과외/,충남중등수학과외,excel_slug_missing,
category:충남:고등수학과외,subject_grade,고등수학과외,충남,충남,/충남고등수학과외/,충남고등수학과외,excel_slug_missing,
category:충남:초등영어과외,subject_grade,초등영어과외,충남,충남,/충남초등영어과외/,충남초등영어과외,excel_slug_missing,
category:충남:중등영어과외,subject_grade,중등영어과외,충남,충남,/충남중등영어과외/,충남중등영어과외,excel_slug_missing,
category:충남:고등영어과외,subject_grade,고등영어과외,충남,충남,/충남고등영어과외/,충남고등영어과외,excel_slug_missing,
region:충남|천안시 서북구,district,과외,천안시 서북구,천안시 서북구,/충남과외/천안시-서북구과외/,천안시-서북구과외,hub_page_no_content,
category:충남|천안시 서북구:수학과외,subject,수학과외,천안시 서북구,천안시 서북구,/천안시-서북구수학과외/,천안시-서북구수학과외,excel_slug_missing,
category:충남|천안시 서북구:영어과외,subject,영어과외,천안시 서북구,천안시 서북구,/천안시-서북구영어과외/,천안시-서북구영어과외,excel_slug_missing,
category:충남|천안시 서북구:초등과외,grade,초등과외,천안시 서북구,천안시 서북구,/천안시-서북구초등과외/,천안시-서북구초등과외,excel_slug_missing,
category:충남|천안시 서북구:중등과외,grade,중등과외,천안시 서북구,천안시 서북구,/천안시-서북구중등과외/,천안시-서북구중등과외,excel_slug_missing,
category:충남|천안시 서북구:고등과외,grade,고등과외,천안시 서북구,천안시 서북구,/천안시-서북구고등과외/,천안시-서북구고등과외,excel_slug_missing,
category:충남|천안시 서북구:초등수학과외,subject_grade,초등수학과외,천안시 서북구,천안시 서북구,/천안시-서북구초등수학과외/,천안시-서북구초등수학과외,excel_slug_missing,
category:충남|천안시 서북구:중등수학과외,subject_grade,중등수학과외,천안시 서북구,천안시 서북구,/천안시-서북구중등수학과외/,천안시-서북구중등수학과외,excel_slug_missing,
category:충남|천안시 서북구:고등수학과외,subject_grade,고등수학과외,천안시 서북구,천안시 서북구,/천안시-서북구고등수학과외/,천안시-서북구고등수학과외,excel_slug_missing,
category:충남|천안시 서북구:초등영어과외,subject_grade,초등영어과외,천안시 서북구,천안시 서북구,/천안시-서북구초등영어과외/,천안시-서북구초등영어과외,excel_slug_missing,
category:충남|천안시 서북구:중등영어과외,subject_grade,중등영어과외,천안시 서북구,천안시 서북구,/천안시-서북구중등영어과외/,천안시-서북구중등영어과외,excel_slug_missing,
category:충남|천안시 서북구:고등영어과외,subject_grade,고등영어과외,천안시 서북구,천안시 서북구,/천안시-서북구고등영어과외/,천안시-서북구고등영어과외,excel_slug_missing,
region:전북|전주시 완산구,district,과외,전주시 완산구,전주시 완산구,/전북과외/전주시-완산구과외/,전주시-완산구과외,hub_page_no_content,
category:전북|전주시 완산구:수학과외,subject,수학과외,전주시 완산구,전주시 완산구,/전주시-완산구수학과외/,전주시-완산구수학과외,excel_slug_missing,
category:전북|전주시 완산구:영어과외,subject,영어과외,전주시 완산구,전주시 완산구,/전주시-완산구영어과외/,전주시-완산구영어과외,excel_slug_missing,
category:전북|전주시 완산구:초등과외,grade,초등과외,전주시 완산구,전주시 완산구,/전주시-완산구초등과외/,전주시-완산구초등과외,excel_slug_missing,
